Portuguese,English
que,what
não,no
o,The
de,in
a,The
é,It is
você,you
e,and
eu,I
um,a
para,for
está,it is
uma,one
se,if
com,with
por,per
ele,he
isso,this
em,in
do,of
me,me
mas,but
como,how
bem,well
da,gives
no,at the
os,you
ela,Is it over there
na,at
sim,yea
aqui,on here
mais,most
tem,has
meu,my
seu,your
muito,much
foi,he was
as,at
vai,go
sua,your
estou,I am
vamos,let's go
tudo,everything
minha,mine
são,are
então,then
pode,he can
agora,now
vou,I go
ser,to be
quando,When
fazer,to do
sei,know
eles,they
nós,we
tenho,have
te,you
estava,was
certo,right
quer,would you like
sabe,You know
já,already
era,it was
nos,U.S
quem,who
ou,or
ao,to the
nada,nothing
disse,said
há,there is
lá,over there
onde,Where
quero,I want
bom,Good
ter,to have
sou,am
são,are
dizer,to say
posso,can I
acho,I think
sobre,on
mim,me
porque,why
mesmo,same
coisa,thing
todos,all
estão,they are
algo,something
até,until
tempo,time
assim,so
nunca,Never
vocês,you
esse,that
casa,House
quê,what
essa,That
à,The
ver,to see
também,also
pra,for
ainda,yet
tão,So
dos,From
cara,guy
favor,favor
ir,go
melhor,best
noite,night
sem,without
temos,we have
obrigado,thanks
dia,day
talvez,maybe
pai,dad
estamos,we are
esta,it is
deus,God
alguém,somebody
mãe,mother
vida,life
senhor,Mr
este,This one
isto,this
sempre,ever
anos,years old
vez,turn
verdade,truth
seus,their
dele,his
ficar,stay
parece,looks
oh,oh
claro,clear
depois,later
tinha,he had
falar,speak
coisas,stuff
antes,before
pessoas,people
pouco,little
pelo,fur
preciso,necessary
apenas,only
homem,men
deve,he must
nem,nor
boa,Good
dois,two
fazendo,making
todo,all
lugar,place
faz,does
acha,he thinks
fez,did
aí,Ouch
fora,outside
estar,be
qual,which
disso,of this
trabalho,job
precisa,it needs
das,of
hoje,today
ninguém,nobody
novo,new
queria,I wanted
ei,Hey
comigo,with me
mundo,world
saber,know
alguma,some
dar,to give
podemos,we can
grande,big
sinto,I feel
seja,be
nossa,Wow
poderia,it could
dinheiro,cash
suas,your
será,it will be
nome,Name
quanto,how much
qualquer,any
pela,through the
outro,other
vá,go
lhe,him
dela,her
nosso,our
oi,Hi
meus,my
